year,period,enddate,description,doy,assessment,location,source
1354,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1355,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1356,Oct 14,NA,grape harvest begins  (d-of-Yr),288,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1357,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1358,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1359,Oct 19,NA,grape harvest begins  (d-of-Yr),292,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1360,Sep 18,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1361,Sep 18,NA,grape harvest begins  (d-of-Yr),261,early,Beaune (CO),"Labbé, GHD_Beaune"
1362,Sep 25,NA,grape harvest begins  (d-of-Yr),268,average,Beaune (CO),"Labbé, GHD_Beaune"
1363,Oct 2,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1364,Sep 27,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1365,Sep 25,NA,grape harvest begins  (d-of-Yr),268,average,Beaune (CO),"Labbé, GHD_Beaune"
1366,Oct 13,NA,grape harvest begins  (d-of-Yr),286,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1367,Oct 29,NA,grape harvest begins  (d-of-Yr),302,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1368,Oct 6,NA,grape harvest begins  (d-of-Yr),280,late,Beaune (CO),"Labbé, GHD_Beaune"
1369,Sep 27,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1370,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1371,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
