abbreviation,name
als,Alsace
auv,Auvergne
aux,Auxerre-Avalon
bea,Beaujolais and Maconnais
bor,Bordeaux
bur,Burgundy
cha1,Champagne 1
cha2,Champagne 2
gai,Gaillac- South-West
ger,Germany
hlv,High Loire Valley
idf,Ile de France
jur,Jura
lan,Languedoc
llv,Low Loire Valley
lux,Luxembourg
mar,Maritime alps
nit,Northern Italy
nlo,Northern  Lorraine
nrv,Northern Rhone valley
sav,Savoie
spa,Spain
slo,Southern Lorraine
srv,Southern Rhone valley
swi,Switzerland (Leman Lake)
vse,Various South-East
vpc,Vendée - Poitou Charente
