abbreviation,name,year,value
als,Alsace,1354,NA
auv,Auvergne,1354,NA
aux,Auxerre-Avalon,1354,NA
bea,Beaujolais and Maconnais,1354,NA
bor,Bordeaux,1354,NA
bur,Burgundy,1354,15.272727272727273
cha1,Champagne 1,1354,NA
cha2,Champagne 2,1354,NA
gai,Gaillac- South-West,1354,NA
ger,Germany,1354,NA
hlv,High Loire Valley,1354,NA
idf,Ile de France,1354,NA
jur,Jura,1354,NA
lan,Languedoc,1354,NA
llv,Low Loire Valley,1354,NA
lux,Luxembourg,1354,NA
mar,Maritime alps,1354,NA
nit,Northern Italy,1354,NA
nlo,Northern  Lorraine,1354,NA
nrv,Northern Rhone valley,1354,NA
sav,Savoie,1354,NA
spa,Spain,1354,NA
slo,Southern Lorraine,1354,NA
srv,Southern Rhone valley,1354,NA
swi,Switzerland (Leman Lake),1354,NA
vse,Various South-East,1354,NA
vpc,Vendée - Poitou Charente,1354,NA
als,Alsace,1355,NA
auv,Auvergne,1355,NA
aux,Auxerre-Avalon,1355,NA
bea,Beaujolais and Maconnais,1355,NA
bor,Bordeaux,1355,NA
bur,Burgundy,1355,13.377104377104377
cha1,Champagne 1,1355,NA
cha2,Champagne 2,1355,NA
gai,Gaillac- South-West,1355,NA
ger,Germany,1355,NA
hlv,High Loire Valley,1355,NA
idf,Ile de France,1355,NA
jur,Jura,1355,NA
lan,Languedoc,1355,NA
llv,Low Loire Valley,1355,NA
lux,Luxembourg,1355,NA
mar,Maritime alps,1355,NA
nit,Northern Italy,1355,NA
nlo,Northern  Lorraine,1355,NA
nrv,Northern Rhone valley,1355,NA
sav,Savoie,1355,NA
spa,Spain,1355,NA
slo,Southern Lorraine,1355,NA
srv,Southern Rhone valley,1355,NA
swi,Switzerland (Leman Lake),1355,NA
vse,Various South-East,1355,NA
vpc,Vendée - Poitou Charente,1355,NA
als,Alsace,1356,NA
auv,Auvergne,1356,NA
aux,Auxerre-Avalon,1356,NA
bea,Beaujolais and Maconnais,1356,NA
bor,Bordeaux,1356,NA
bur,Burgundy,1356,NA
cha1,Champagne 1,1356,NA
cha2,Champagne 2,1356,NA
gai,Gaillac- South-West,1356,NA
ger,Germany,1356,NA
hlv,High Loire Valley,1356,NA
idf,Ile de France,1356,NA
jur,Jura,1356,NA
lan,Languedoc,1356,NA
llv,Low Loire Valley,1356,NA
lux,Luxembourg,1356,NA
mar,Maritime alps,1356,NA
nit,Northern Italy,1356,NA
nlo,Northern  Lorraine,1356,NA
nrv,Northern Rhone valley,1356,NA
sav,Savoie,1356,NA
spa,Spain,1356,NA
slo,Southern Lorraine,1356,NA
srv,Southern Rhone valley,1356,NA
swi,Switzerland (Leman Lake),1356,NA
vse,Various South-East,1356,NA
vpc,Vendée - Poitou Charente,1356,NA
als,Alsace,1357,NA
auv,Auvergne,1357,NA
aux,Auxerre-Avalon,1357,NA
bea,Beaujolais and Maconnais,1357,NA
bor,Bordeaux,1357,NA
bur,Burgundy,1357,18.272727272727273
cha1,Champagne 1,1357,NA
cha2,Champagne 2,1357,NA
gai,Gaillac- South-West,1357,NA
ger,Germany,1357,NA
hlv,High Loire Valley,1357,NA
idf,Ile de France,1357,NA
jur,Jura,1357,NA
lan,Languedoc,1357,NA
llv,Low Loire Valley,1357,NA
lux,Luxembourg,1357,NA
mar,Maritime alps,1357,NA
nit,Northern Italy,1357,NA
nlo,Northern  Lorraine,1357,NA
nrv,Northern Rhone valley,1357,NA
sav,Savoie,1357,NA
spa,Spain,1357,NA
slo,Southern Lorraine,1357,NA
srv,Southern Rhone valley,1357,NA
swi,Switzerland (Leman Lake),1357,NA
vse,Various South-East,1357,NA
vpc,Vendée - Poitou Charente,1357,NA
als,Alsace,1358,NA
auv,Auvergne,1358,NA
aux,Auxerre-Avalon,1358,NA
bea,Beaujolais and Maconnais,1358,NA
bor,Bordeaux,1358,NA
bur,Burgundy,1358,NA
cha1,Champagne 1,1358,NA
cha2,Champagne 2,1358,NA
gai,Gaillac- South-West,1358,NA
ger,Germany,1358,NA
hlv,High Loire Valley,1358,NA
idf,Ile de France,1358,NA
jur,Jura,1358,NA
lan,Languedoc,1358,NA
llv,Low Loire Valley,1358,NA
lux,Luxembourg,1358,NA
mar,Maritime alps,1358,NA
nit,Northern Italy,1358,NA
nlo,Northern  Lorraine,1358,NA
nrv,Northern Rhone valley,1358,NA
sav,Savoie,1358,NA
spa,Spain,1358,NA
slo,Southern Lorraine,1358,NA
srv,Southern Rhone valley,1358,NA
swi,Switzerland (Leman Lake),1358,NA
vse,Various South-East,1358,NA
vpc,Vendée - Poitou Charente,1358,NA
als,Alsace,1359,NA
auv,Auvergne,1359,NA
aux,Auxerre-Avalon,1359,NA
bea,Beaujolais and Maconnais,1359,NA
bor,Bordeaux,1359,NA
bur,Burgundy,1359,NA
cha1,Champagne 1,1359,NA
cha2,Champagne 2,1359,NA
gai,Gaillac- South-West,1359,NA
ger,Germany,1359,NA
hlv,High Loire Valley,1359,NA
idf,Ile de France,1359,NA
jur,Jura,1359,NA
lan,Languedoc,1359,NA
llv,Low Loire Valley,1359,NA
lux,Luxembourg,1359,NA
mar,Maritime alps,1359,NA
nit,Northern Italy,1359,NA
nlo,Northern  Lorraine,1359,NA
nrv,Northern Rhone valley,1359,NA
sav,Savoie,1359,NA
spa,Spain,1359,NA
slo,Southern Lorraine,1359,NA
srv,Southern Rhone valley,1359,NA
swi,Switzerland (Leman Lake),1359,NA
vse,Various South-East,1359,NA
vpc,Vendée - Poitou Charente,1359,NA
als,Alsace,1360,NA
auv,Auvergne,1360,NA
aux,Auxerre-Avalon,1360,NA
bea,Beaujolais and Maconnais,1360,NA
bor,Bordeaux,1360,NA
bur,Burgundy,1360,NA
cha1,Champagne 1,1360,NA
cha2,Champagne 2,1360,NA
gai,Gaillac- South-West,1360,NA
ger,Germany,1360,NA
hlv,High Loire Valley,1360,NA
idf,Ile de France,1360,NA
jur,Jura,1360,NA
lan,Languedoc,1360,NA
llv,Low Loire Valley,1360,NA
lux,Luxembourg,1360,NA
mar,Maritime alps,1360,NA
nit,Northern Italy,1360,NA
nlo,Northern  Lorraine,1360,NA
nrv,Northern Rhone valley,1360,NA
sav,Savoie,1360,NA
spa,Spain,1360,NA
slo,Southern Lorraine,1360,NA
srv,Southern Rhone valley,1360,NA
swi,Switzerland (Leman Lake),1360,NA
